date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
10/1/2021,ARKG,"TELADOC HEALTH INC",TDOC,87918A105,3888909.00,493152550.29,6.91
10/1/2021,ARKG,"EXACT SCIENCES CORP",EXAS,30063P105,3921717.00,374327887.65,5.25
10/1/2021,ARKG,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,13792726.00,352404149.30,4.94
10/1/2021,ARKG,"VERTEX PHARMACEUTICALS INC",VRTX,92532F100,1700897.00,308525706.83,4.33
10/1/2021,ARKG,"IONIS PHARMACEUTICALS INC",IONS,462222100,8466525.00,283967248.50,3.98
10/1/2021,ARKG,"FATE THERAPEUTICS INC",FATE,31189P102,4765491.00,282450651.57,3.96
10/1/2021,ARKG,"REGENERON PHARMACEUTICALS",REGN,75886F107,425390.00,257437520.20,3.61
10/1/2021,ARKG,"TWIST BIOSCIENCE CORP",TWST,90184D100,2200322.00,235368444.34,3.30
10/1/2021,ARKG,"TAKEDA PHARMACEUTIC-SP ADR","TAK UN",874060205,13423318.00,219873948.84,3.08
10/1/2021,ARKG,"ACCOLADE INC",ACCD,00437E102,5202839.00,219403720.63,3.08
10/1/2021,ARKG,"CAREDX INC",CDNA,14167L103,3390851.00,214878227.87,3.01
10/1/2021,ARKG,"VEEVA SYSTEMS INC-CLASS A",VEEV,922475108,732006.00,210942169.02,2.96
10/1/2021,ARKG,"CRISPR THERAPEUTICS AG",CRSP,H17182108,1814050.00,203046616.50,2.85
10/1/2021,ARKG,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,1489701.00,199843389.15,2.80
10/1/2021,ARKG,"INCYTE CORP",INCY,45337C102,2857457.00,196535892.46,2.76
10/1/2021,ARKG,"BEAM THERAPEUTICS INC",BEAM,07373V105,2002321.00,174221950.21,2.44
10/1/2021,ARKG,"INVITAE CORP",NVTA,46185L103,6000907.00,170605786.01,2.39
10/1/2021,ARKG,"ADAPTIVE BIOTECHNOLOGIES",ADPT,00650F109,4827695.00,164093353.05,2.30
10/1/2021,ARKG,"UIPATH INC - CLASS A",PATH,90364P105,2918932.00,153565012.52,2.15
10/1/2021,ARKG,"SIGNIFY HEALTH INC -CLASS A",SGFY,82671G100,8407464.00,150241381.68,2.11
10/1/2021,ARKG,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,5867603.00,144695089.98,2.03
10/1/2021,ARKG,"CASTLE BIOSCIENCES INC",CSTL,14843C105,2045398.00,136018967.00,1.91
10/1/2021,ARKG,"CODEXIS INC",CDXS,192005106,5799674.00,134900417.24,1.89
10/1/2021,ARKG,"SCHRODINGER INC",SDGR,80810D103,2270080.00,124127974.40,1.74
10/1/2021,ARKG,"ARCTURUS THERAPEUTICS HOLDIN","ARCT UQ",03969T109,2512976.00,120069993.28,1.68
10/1/2021,ARKG,"GINKGO BIOWORKS HOLDINGS INC",DNA,37611X100,9239602.00,107086987.18,1.50
10/1/2021,ARKG,"PERSONALIS INC",PSNL,71535D106,5134626.00,98790204.24,1.39
10/1/2021,ARKG,"PFIZER INC",PFE,717081103,2204936.00,94834297.36,1.33
10/1/2021,ARKG,"VERACYTE INC",VCYT,92337F107,1981567.00,92043787.15,1.29
10/1/2021,ARKG,"10X GENOMICS INC-CLASS A",TXG,88025U109,627154.00,91301079.32,1.28
10/1/2021,ARKG,"908 DEVICES INC",MASS,65443P102,2735391.00,88954915.32,1.25
10/1/2021,ARKG,"QUANTUM-SI INC",QSI,74765K105,10642233.00,88756223.22,1.24
10/1/2021,ARKG,"REPARE THERAPEUTICS INC",RPTX,760273102,2949628.00,77398238.72,1.09
10/1/2021,ARKG,"BERKELEY LIGHTS INC",BLI,084310101,3856048.00,75424298.88,1.06
10/1/2021,ARKG,"BUTTERFLY NETWORK INC",BFLY,124155102,7151788.00,74664666.72,1.05
10/1/2021,ARKG,"1LIFE HEALTHCARE INC",ONEM,68269G107,3568997.00,72272189.25,1.01
10/1/2021,ARKG,"SEMA4 HOLDINGS CORP",SMFR,81663L101,9337243.00,70869674.37,0.99
10/1/2021,ARKG,"SOMALOGIC INC",SLGC,83444K105,4805639.00,59541867.21,0.83
10/1/2021,ARKG,"RECURSION PHARMACEUTICALS-A",RXRX,75629V104,2579819.00,59361635.19,0.83
10/1/2021,ARKG,"VERVE THERAPEUTICS INC",VERV,92539P101,1260293.00,59233771.00,0.83
10/1/2021,ARKG,"EDITAS MEDICINE INC",EDIT,28106W103,1260174.00,51767947.92,0.73
10/1/2021,ARKG,"ZYMERGEN INC",ZY,98985X100,3760230.00,49522229.10,0.69
10/1/2021,ARKG,"CELLECTIS - ADR",CLLS,15117K103,3760279.00,47417118.19,0.66
10/1/2021,ARKG,"NANOSTRING TECHNOLOGIES INC",NSTG,63009R109,861772.00,41373673.72,0.58
10/1/2021,ARKG,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,1620526.00,38957445.04,0.55
10/1/2021,ARKG,"SURFACE ONCOLOGY INC",SURF,86877M209,4618354.00,34960939.78,0.49
10/1/2021,ARKG,"CERUS CORP",CERS,157085101,5156244.00,31401525.96,0.44
10/1/2021,ARKG,"AQUABOUNTY TECHNOLOGIES",AQB,03842K200,6196878.00,25221293.46,0.35
10/1/2021,ARKG,"DYNAMICS SPECIAL PURPOSE C-A",DYNS,268010105,2313442.00,22995613.48,0.32
10/1/2021,ARKG,"DREYFUS GOVT CASH MAN INS",,X9USDDGCM,22075681.16,22075681.16,0.31
10/1/2021,ARKG,"COMPUGEN LTD",CGEN,M25722105,3617691.00,21597615.27,0.30
10/1/2021,ARKG,"EVOGENE LTD",EVGN,M4119S104,2926562.00,7726123.68,0.11
10/1/2021,ARKG,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,243043.00,1652692.40,0.02
10/1/2021,ARKG,"CARIBOU BIOSCIENCES INC",CRBU,142038108,1455.00,34730.85,0.00
10/1/2021,ARKG,"NOVARTIS AG-SPONSORED ADR",NVS,66987V109,776.00,63461.28,0.00
10/1/2021,ARKG,"CM LIFE SCIENCES II -CW27",SLGCW,83444K113,548744.00,0.00,0.00
,,,,,,,
,,,,,,,
