date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
3/22/2021,ARKW,"TESLA INC",TSLA,88160R101,1153375.00,755310686.25,10.35
3/22/2021,ARKW,"GRAYSCALE BITCOIN TRUST BTC",GBTC,389637109,8097247.00,428789714.89,5.88
3/22/2021,ARKW,"SQUARE INC - A",SQ,852234103,1701465.00,382557390.60,5.24
3/22/2021,ARKW,"TELADOC HEALTH INC",TDOC,87918A105,1631262.00,311538416.76,4.27
3/22/2021,ARKW,"SHOPIFY INC - CLASS A",SHOP,82509L107,225008.00,252222717.60,3.46
3/22/2021,ARKW,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,925961.00,251963247.71,3.45
3/22/2021,ARKW,"ROKU INC",ROKU,77543R102,671679.00,233415169.29,3.20
3/22/2021,ARKW,"TWITTER INC",TWTR,90184L102,3087863.00,204509166.49,2.80
3/22/2021,ARKW,"OPENDOOR TECHNOLOGIES INC",OPEN,683712103,6345516.00,174692055.48,2.39
3/22/2021,ARKW,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,532658.00,173784999.08,2.38
3/22/2021,ARKW,"ZILLOW GROUP INC - C",Z,98954M200,1284891.00,172959177.51,2.37
3/22/2021,ARKW,"TWILIO INC - A",TWLO,90138F102,469332.00,166988325.60,2.29
3/22/2021,ARKW,"PAYPAL HOLDINGS INC",PYPL,70450Y103,661454.00,159595621.12,2.19
3/22/2021,ARKW,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,1416710.00,157538152.00,2.16
3/22/2021,ARKW,"UNITY SOFTWARE INC",U,91332U101,1463988.00,147174713.64,2.02
3/22/2021,ARKW,"SKILLZ INC",SKLZ,83067L109,5354182.00,137763102.86,1.89
3/22/2021,ARKW,"JD.COM INC-ADR",JD,47215P106,1607698.00,136638253.02,1.87
3/22/2021,ARKW,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,5278060.00,128362419.20,1.76
3/22/2021,ARKW,"NETFLIX INC",NFLX,64110L106,250468.00,128284700.24,1.76
3/22/2021,ARKW,"SEA LTD-ADR",SE,81141R100,571162.00,122742713.80,1.68
3/22/2021,ARKW,"TRADE DESK INC/THE -CLASS A",TTD,88339J105,161634.00,118511665.14,1.62
3/22/2021,ARKW,"KE HOLDINGS INC",BEKE,482497104,1811569.00,115940416.00,1.59
3/22/2021,ARKW,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,1372971.00,113462323.44,1.56
3/22/2021,ARKW,"AGORA INC-ADR",API,00851L103,1949425.00,112462328.25,1.54
