date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
3/2/2021,ARKF,"SQUARE INC - A",SQ,852234103,1883833.00,475102682.60,10.40
3/2/2021,ARKF,"PAYPAL HOLDINGS INC",PYPL,70450Y103,935496.00,251826168.24,5.51
3/2/2021,ARKF,"ZILLOW GROUP INC - C",Z,98954M200,1340402.00,216957467.72,4.75
3/2/2021,ARKF,"SILVERGATE CAPITAL CORP-CL A",SI,82837P408,1319571.00,189120915.72,4.14
3/2/2021,ARKF,"PINTEREST INC- CLASS A",PINS,72352L106,2132383.00,173085528.11,3.79
3/2/2021,ARKF,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,1899521.00,170785933.11,3.74
3/2/2021,ARKF,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,1481477.00,168325416.74,3.68
3/2/2021,ARKF,"SHOPIFY INC - CLASS A",SHOP,82509L107,124008.00,162333912.48,3.55
3/2/2021,ARKF,"SEA LTD-ADR",SE,81141R100,627486.00,156871500.00,3.43
3/2/2021,ARKF,"OPENDOOR TECHNOLOGIES INC",OPEN,683712103,4383529.00,137335963.57,3.01
3/2/2021,ARKF,"ADYEN NV",ADYEN,BZ1HM42,58527.00,137520371.04,3.01
3/2/2021,ARKF,"YEAHKA LTD",9923,BL58D39,11702000.00,132751848.29,2.91
3/2/2021,ARKF,"MERCADOLIBRE INC",MELI,58733R102,79728.00,130946064.48,2.87
3/2/2021,ARKF,"SNAP INC - A",SNAP,83304A106,1906179.00,122967607.29,2.69
3/2/2021,ARKF,"FACEBOOK INC-CLASS A",FB,30303M102,462494.00,119785946.00,2.62
3/2/2021,ARKF,"TWILIO INC - A",TWLO,90138F102,298413.00,117759738.06,2.58
3/2/2021,ARKF,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,502968.00,117905758.56,2.58
3/2/2021,ARKF,"MEITUAN-CLASS B",3690,BGJW376,2321382.00,108450763.08,2.37
3/2/2021,ARKF,"ZHONGAN ONLINE P&C INSURAN-H",6060,BYZQ099,15647245.00,107614332.68,2.36
3/2/2021,ARKF,"DOCUSIGN INC",DOCU,256163106,404283.00,94032182.97,2.06
3/2/2021,ARKF,"Z HOLDINGS CORP",4689,6084848,14568630.00,86838588.00,1.90
3/2/2021,ARKF,"APPLE INC",AAPL,037833100,682014.00,85333591.68,1.87
3/2/2021,ARKF,"WORKDAY INC-CLASS A",WDAY,98138H101,330380.00,81921024.80,1.79
3/2/2021,ARKF,"INTUIT INC",INTU,461202103,201858.00,81096451.50,1.78
3/2/2021,ARKF,"AMAZON.COM INC",AMZN,023135106,24890.00,77022851.70,1.69
3/2/2021,ARKF,"TCS GROUP HOLDING-GDR REG S","TCS LI",87238U203,1359630.00,70020945.00,1.53
3/2/2021,ARKF,"JD.COM INC-ADR",JD,47215P106,680605.00,65596709.90,1.44
3/2/2021,ARKF,"TELADOC HEALTH INC",TDOC,87918A105,286159.00,62359769.28,1.37
3/2/2021,ARKF,"KE HOLDINGS INC",BEKE,482497104,857229.00,55145541.57,1.21
3/2/2021,ARKF,"DISCOVERY LTD",DSY,6177878,5534480.00,53962221.80,1.18
3/2/2021,ARKF,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,399345.00,50317470.00,1.10
3/2/2021,ARKF,"BASE INC",4477,BKRQ8Q2,461200.00,47826548.01,1.05
3/2/2021,ARKF,"GUIDEWIRE SOFTWARE INC",GWRE,40171V100,413278.00,47390588.26,1.04
3/2/2021,ARKF,"SCHWAB (CHARLES) CORP",SCHW,808513105,719537.00,45906460.60,1.00
3/2/2021,ARKF,"HDFC BANK LTD-ADR",HDB,40415F101,552391.00,45737974.80,1.00
3/2/2021,ARKF,"LENDINGTREE INC","TREE UW",52603B107,167047.00,45304816.87,0.99
3/2/2021,ARKF,"PING AN HEALTHCARE AND TECHN",1833,BDRYVB3,3047500.00,44275700.48,0.97
3/2/2021,ARKF,"PINDUODUO INC-ADR",PDD,722304102,247515.00,43443832.80,0.95
3/2/2021,ARKF,"NVIDIA CORP",NVDA,67066G104,80000.00,42900000.00,0.94
3/2/2021,ARKF,"DRAFTKINGS INC - CL A",DKNG,26142R104,548003.00,37582045.74,0.82
3/2/2021,ARKF,"BILL.COM HOLDINGS INC",BILL,090043100,140963.00,22976969.00,0.50
3/2/2021,ARKF,"LENDINGCLUB CORP",LC,52603A208,1821145.00,21507722.45,0.47
3/2/2021,ARKF,"MARKETAXESS HOLDINGS INC",MKTX,57060D108,33519.00,19403478.72,0.42
3/2/2021,ARKF,"LIGHTSPEED POS INC-SUB VOTE",LSPD,BGHVW01,263639.00,18839862.93,0.41
3/2/2021,ARKF,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,7686749.24,7686749.24,0.17
3/2/2021,ARKF,"JSC KASPI.KZ GDR-REG S",KSPI,BMXZ8G7,91218.00,6339651.00,0.14
3/2/2021,ARKF,"SPLUNK INC",SPLK,848637104,23775.00,3544614.75,0.08
3/2/2021,ARKF,"VERISK ANALYTICS INC",VRSK,92345Y106,18591.00,3093170.58,0.07
,,,,,,,
,,,,,,,
