date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
3/16/2021,ARKQ,"TESLA INC",TSLA,88160R101,536850.00,380057589.00,10.80
3/16/2021,ARKQ,"BAIDU INC - SPON ADR",BIDU,056752108,707529.00,187870175.37,5.34
3/16/2021,ARKQ,"TRIMBLE INC",TRMB,896239100,2433453.00,183677032.44,5.22
3/16/2021,ARKQ,"JD.COM INC-ADR",JD,47215P106,1928295.00,164155753.35,4.67
3/16/2021,ARKQ,"DEERE & CO",DE,244199105,399395.00,149521506.15,4.25
3/16/2021,ARKQ,"KRATOS DEFENSE & SECURITY",KTOS,50077B207,5171443.00,140042676.44,3.98
3/16/2021,ARKQ,"TERADYNE INC",TER,880770102,1146213.00,134966580.75,3.84
3/16/2021,ARKQ,"ALPHABET INC-CL C",GOOG,02079K107,63900.00,132048711.00,3.75
3/16/2021,ARKQ,"NXP SEMICONDUCTORS NV",NXPI,N6596X109,637551.00,127452820.41,3.62
3/16/2021,ARKQ,"KOMATSU LTD -SPONS ADR",KMTUY,500458401,3613048.00,114967187.36,3.27
3/16/2021,ARKQ,"NVIDIA CORP",NVDA,67066G104,192747.00,101702954.55,2.89
3/16/2021,ARKQ,"LOCKHEED MARTIN CORP",LMT,539830109,272496.00,94395339.36,2.68
3/16/2021,ARKQ,"CATERPILLAR INC",CAT,149123101,386787.00,89247232.38,2.54
3/16/2021,ARKQ,"TELEDYNE TECHNOLOGIES INC",TDY,879360105,213657.00,85279054.98,2.42
3/16/2021,ARKQ,"MATERIALISE NV-ADR",MTLS,57667T100,1810320.00,82858346.40,2.35
3/16/2021,ARKQ,"IRIDIUM COMMUNICATIONS INC",IRDM,46269C102,1957086.00,82315037.16,2.34
3/16/2021,ARKQ,"NIU TECHNOLOGIES-SPONS ADR",NIU,65481N100,1886082.00,80101902.54,2.28
3/16/2021,ARKQ,"NANO DIMENSION LTD - ADR",NNDM,63008G203,6953283.00,79893221.67,2.27
3/16/2021,ARKQ,"WORKHORSE GROUP INC",WKHS,98138J206,3939703.00,70244904.49,2.00
3/16/2021,ARKQ,"AEROVIRONMENT INC",AVAV,008073108,579465.00,69448880.25,1.97
3/16/2021,ARKQ,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,568383.00,67683047.64,1.92
3/16/2021,ARKQ,"MAGNA INTERNATIONAL INC",MGA,559222401,716025.00,66611805.75,1.89
3/16/2021,ARKQ,"BYD CO LTD-UNSPONSORED ADR",BYDDY,05606L100,1338545.00,64939510.68,1.85
3/16/2021,ARKQ,"SYNOPSYS INC",SNPS,871607107,259993.00,61064555.91,1.74
3/16/2021,ARKQ,"VIRGIN GALACTIC HOLDINGS INC",SPCE,92766K106,1707795.00,59431266.00,1.69
3/16/2021,ARKQ,"INTUITIVE SURGICAL INC",ISRG,46120E602,79935.00,58757021.10,1.67
3/16/2021,ARKQ,"RAVEN INDUSTRIES INC",RAVN,754212108,1180504.00,48707595.04,1.38
3/16/2021,ARKQ,"ELBIT SYSTEMS LTD",ESLT,M3760D101,293568.00,41393088.00,1.18
3/16/2021,ARKQ,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,503127.00,41568352.74,1.18
3/16/2021,ARKQ,"2U INC",TWOU,90214J101,1063257.00,40839701.37,1.16
3/16/2021,ARKQ,"STRATASYS LTD",SSYS,M85548101,1306592.00,38884177.92,1.11
3/16/2021,ARKQ,"PACCAR INC",PCAR,693718108,386836.00,38466971.84,1.09
3/16/2021,ARKQ,"EXPERIENCE INVESTMENT CORP-A",EXPC,30217C109,2779615.00,36635325.70,1.04
3/16/2021,ARKQ,"ANSYS INC",ANSS,03662Q105,105276.00,34289445.96,0.97
3/16/2021,ARKQ,"EXONE CO/THE",XONE,302104104,882817.00,33741265.74,0.96
3/16/2021,ARKQ,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,144619.00,33302863.32,0.95
3/16/2021,ARKQ,"VUZIX CORP",VUZI,92921W300,1434083.00,31865324.26,0.91
3/16/2021,ARKQ,"PROTO LABS INC",PRLB,743713109,229017.00,31370748.66,0.89
3/16/2021,ARKQ,"XILINX INC",XLNX,983919101,239561.00,30812335.82,0.88
3/16/2021,ARKQ,"ONE - CLASS A",AONE,G7000X105,1600174.00,20738255.04,0.59
3/16/2021,ARKQ,"AUTODESK INC",ADSK,052769106,75056.00,20491789.12,0.58
3/16/2021,ARKQ,"3D SYSTEMS CORP",DDD,88554D205,565581.00,18517121.94,0.53
3/16/2021,ARKQ,"UNITY SOFTWARE INC",U,91332U101,166564.00,18267073.88,0.52
3/16/2021,ARKQ,"ATLAS CREST INVESTMENT COR-A",ACIC,049284102,1432588.00,15643860.96,0.44
3/16/2021,ARKQ,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,12254850.07,12254850.07,0.35
3/16/2021,ARKQ,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,174474.00,1971556.20,0.06
,,,,,,,
,,,,,,,
