date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
11/24/2020,ARKQ,"TESLA INC",TSLA,88160R101,239425.00,132971856.50,12.50
11/24/2020,ARKQ,"MATERIALISE NV-ADR",MTLS,57667T100,1630255.00,71731220.00,6.74
11/24/2020,ARKQ,"ALPHABET INC-CL C",GOOG,02079K107,25789.00,45617646.32,4.29
11/24/2020,ARKQ,"DEERE & CO",DE,244199105,151695.00,39669759.45,3.73
11/24/2020,ARKQ,"2U INC",TWOU,90214J101,1209050.00,39560116.00,3.72
11/24/2020,ARKQ,"TRIMBLE INC",TRMB,896239100,631990.00,38292274.10,3.60
11/24/2020,ARKQ,"PROTO LABS INC",PRLB,743713109,277505.00,37851682.00,3.56
11/24/2020,ARKQ,"JD.COM INC-ADR",JD,47215P106,418026.00,37547095.32,3.53
11/24/2020,ARKQ,"XILINX INC",XLNX,983919101,262166.00,34925754.52,3.28
11/24/2020,ARKQ,"FLIR SYSTEMS INC",FLIR,302445101,825469.00,33868993.07,3.18
11/24/2020,ARKQ,"KRATOS DEFENSE & SECURITY",KTOS,50077B207,1562432.00,33686033.92,3.17
11/24/2020,ARKQ,"WORKHORSE GROUP INC",WKHS,98138J206,1147332.00,33020214.96,3.10
11/24/2020,ARKQ,"IRIDIUM COMMUNICATIONS INC",IRDM,46269C102,1008016.00,32891562.08,3.09
11/24/2020,ARKQ,"BYD CO LTD-UNSPONSORED ADR",BYDDY,05606L100,604709.00,31541621.44,2.97
11/24/2020,ARKQ,"CATERPILLAR INC",CAT,149123101,174570.00,30881433.00,2.90
11/24/2020,ARKQ,"STRATASYS LTD",SSYS,M85548101,1704221.00,25870074.78,2.43
11/24/2020,ARKQ,"NXP SEMICONDUCTORS NV",NXPI,N6596X109,161931.00,25661205.57,2.41
11/24/2020,ARKQ,"AEROVIRONMENT INC",AVAV,008073108,284518.00,25296495.38,2.38
11/24/2020,ARKQ,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,254213.00,24567144.32,2.31
11/24/2020,ARKQ,"KOMATSU LTD -SPONS ADR",KMTUY,500458401,962124.00,24043478.76,2.26
11/24/2020,ARKQ,"VIRGIN GALACTIC HOLDINGS INC",SPCE,92766K106,956871.00,23883500.16,2.25
11/24/2020,ARKQ,"SPLUNK INC",SPLK,848637104,107051.00,21248552.99,2.00
11/24/2020,ARKQ,"BAIDU INC - SPON ADR",BIDU,056752108,151708.00,20383486.88,1.92
11/24/2020,ARKQ,"SYNOPSYS INC",SNPS,871607107,86751.00,18693972.99,1.76
11/24/2020,ARKQ,"TERADYNE INC",TER,880770102,166495.00,18146290.05,1.71
11/24/2020,ARKQ,"NANO DIMENSION LTD - ADR",NNDM,63008G203,3339018.00,16661699.82,1.57
11/24/2020,ARKQ,"NIU TECHNOLOGIES-SPONS ADR",NIU,65481N100,455374.00,15072879.40,1.42
11/24/2020,ARKQ,"ANSYS INC",ANSS,03662Q105,44646.00,14292077.52,1.34
11/24/2020,ARKQ,"AMAZON.COM INC",AMZN,023135106,4399.00,13716345.94,1.29
11/24/2020,ARKQ,"INTUITIVE SURGICAL INC",ISRG,46120E602,18098.00,13118154.32,1.23
11/24/2020,ARKQ,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,145082.00,10995764.78,1.03
11/24/2020,ARKQ,"ELBIT SYSTEMS LTD",ESLT,M3760D101,89746.00,10846701.56,1.02
11/24/2020,ARKQ,"EXONE CO/THE",XONE,302104104,1003858.00,10771396.34,1.01
11/24/2020,ARKQ,"NVIDIA CORP",NVDA,67066G104,20288.00,10515473.28,0.99
11/24/2020,ARKQ,"AUTODESK INC",ADSK,052769106,38808.00,10050107.76,0.94
11/24/2020,ARKQ,"ROCKWELL AUTOMATION INC",ROK,773903109,39112.00,10044352.72,0.94
11/24/2020,ARKQ,"APPLE INC",AAPL,037833100,80982.00,9326696.94,0.88
11/24/2020,ARKQ,"HONEYWELL INTERNATIONAL INC",HON,438516106,26220.00,5450875.80,0.51
