date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
8/5/2021,PRNT,"CELLINK AB - B",CLNKB,BKMFJ94,344759.00,23918940.39,4.64
8/5/2021,PRNT,"3D SYSTEMS CORP",DDD,88554D205,870046.00,22873509.34,4.43
8/5/2021,PRNT,"SLM SOLUTIONS GROUP AG",AM3D,BMHTHK2,941256.00,21795865.23,4.23
8/5/2021,PRNT,"AUTODESK INC",ADSK,052769106,63624.00,20938022.16,4.06
8/5/2021,PRNT,"STRAUMANN HOLDING AG-REG",STMN,7156832,11073.00,20844731.59,4.04
8/5/2021,PRNT,"RENISHAW PLC",RSW,0732358,280630.00,20557189.97,3.99
8/5/2021,PRNT,"DASSAULT SYSTEMES SE","DSY FP",BM8H5Y5,364190.00,20488112.70,3.97
8/5/2021,PRNT,"ANSYS INC",ANSS,03662Q105,53669.00,19995459.33,3.88
8/5/2021,PRNT,"TRIMBLE INC",TRMB,896239100,229365.00,19892826.45,3.86
8/5/2021,PRNT,"HP INC",HPQ,40434L105,679458.00,19751844.06,3.83
8/5/2021,PRNT,"CONFORMIS INC",CFMS,20717E101,12895769.00,19730526.57,3.83
8/5/2021,PRNT,"ALTAIR ENGINEERING INC - A",ALTR,021369103,278057.00,19202616.42,3.72
8/5/2021,PRNT,"MICROSOFT CORP",MSFT,594918104,65926.00,18888458.26,3.66
8/5/2021,PRNT,"EXONE CO/THE",XONE,302104104,1129296.00,18678555.84,3.62
8/5/2021,PRNT,"DESKTOP METAL INC-A",DM,25058X105,2044733.00,18504833.65,3.59
8/5/2021,PRNT,"PROTO LABS INC",PRLB,743713109,225572.00,18000645.60,3.49
8/5/2021,PRNT,"PTC INC",PTC,69370C100,132612.00,17942403.60,3.48
8/5/2021,PRNT,"NANO DIMENSION LTD - ADR",NNDM,63008G203,2871282.00,17486107.38,3.39
8/5/2021,PRNT,"MATERIALISE NV-ADR",MTLS,57667T100,753701.00,16626644.06,3.22
8/5/2021,PRNT,"XOMETRY INC-A",XMTR,98423F109,168023.00,13198206.65,2.56
8/5/2021,PRNT,"STRATASYS LTD",SSYS,M85548101,645731.00,12720900.70,2.47
8/5/2021,PRNT,"MGI DIGITAL GRAPHIC TECHNOLO",ALMDG,B18FJV7,252387.00,11593010.06,2.25
8/5/2021,PRNT,"ALIGN TECHNOLOGY INC",ALGN,016255101,9931.00,7031247.31,1.36
