date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
4/13/2021,IZRL,"INTERCURE LTD",INCR,B23SD94,1138931.86,10174432.61,2.94
4/13/2021,IZRL,"CAMTEK LTD",CAMT,M20791105,254271.00,8652842.13,2.50
4/13/2021,IZRL,"INMODE LTD",INMD,M5425M103,100534.00,8322204.52,2.41
4/13/2021,IZRL,"E & M COMPUTING",EMCO,6302216,1196016.00,7996054.37,2.31
4/13/2021,IZRL,"DREYFUS GOVT CASH MAN INS",,X9USDDGCM,7967976.78,7967976.78,2.30
4/13/2021,IZRL,"PERION NETWORK LTD",PERI,M78673114,445400.00,7861310.00,2.27
4/13/2021,IZRL,"RADA ELECTRONIC INDS LTD",RADA,M81863124,570953.00,7770670.33,2.25
4/13/2021,IZRL,"ALLOT LTD",ALLT,M0854Q105,425117.00,7579836.11,2.19
4/13/2021,IZRL,"DANEL (ADIR YEOSHUA) LTD",DANE,6253433,40341.00,7246732.35,2.10
4/13/2021,IZRL,"ELECTRA CONSUMER PRODUCTS 19",ECP,B536CY7,155891.00,7140442.87,2.07
4/13/2021,IZRL,"NOVA MEASURING INSTRUMENTS",NVMI,M7516K103,74160.00,7100078.40,2.05
4/13/2021,IZRL,"HILAN LTD",HLAN,6267230,131541.00,6835112.40,1.98
4/13/2021,IZRL,"ITURAN LOCATION AND CONTROL",ITRN,M6158M104,314428.00,6854530.40,1.98
4/13/2021,IZRL,"WIX.COM LTD",WIX,M98068105,23778.00,6852819.60,1.98
4/13/2021,IZRL,"MATRIX IT LTD",MTRX,6747754,262712.00,6756168.64,1.95
4/13/2021,IZRL,"ONE SOFTWARE TECHNOLOGIES LT",ONE,6987709,47937.00,6383553.91,1.85
4/13/2021,IZRL,"ELBIT SYSTEMS LTD",ESLT,6308913,44778.00,6397536.29,1.85
4/13/2021,IZRL,"MALAM - TEAM LTD",MLTM,6875923,216817.00,6376951.24,1.84
4/13/2021,IZRL,"GILAT SATELLITE NETWORKS LTD",GILT,M51474118,645919.00,6291251.06,1.82
4/13/2021,IZRL,"KORNIT DIGITAL LTD",KRNT,M6372Q113,60218.00,6218712.86,1.80
4/13/2021,IZRL,"BEZEQ THE ISRAELI TELECOM CO",BEZQ,6098032,5814138.00,6172776.30,1.79
4/13/2021,IZRL,"SILICOM LTD",SILC,M84116108,135945.00,6097133.25,1.76
4/13/2021,IZRL,"BET SHEMESH ENGINES HOLDINGS",BSEN,6103936,274464.00,5971079.15,1.73
4/13/2021,IZRL,"PARTNER COMMUNICATIONS CO",PTNR,6374420,1286614.00,5982980.49,1.73
4/13/2021,IZRL,"RADWARE LTD",RDWR,M81873107,215712.00,5921294.40,1.71
4/13/2021,IZRL,"TOWER SEMICONDUCTOR LTD",TSEM,M87915274,194163.00,5881197.27,1.70
4/13/2021,IZRL,"SAPIENS INTERNATIONAL CORP",SPNS,G7T16G103,180385.00,5866120.20,1.70
4/13/2021,IZRL,"FATTAL HOLDINGS 1998 LTD",FTAL,BG1YKN5,56113.00,5787214.29,1.67
